"","Order","PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice","has.alley","Has.Basement","Has.Fireplace","Has.Garage","Has.Pool","Has.Wood.Deck","Has.Open.Porch","Has.X3Ssn.Porch","Has.Screen.Porch"
"472",472,528228450,"120","RL",43,3182,"Pave",0,"Lvl","Inside",0,"Blmngtn","norm","norm","TwnhsE","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,3,"TA","PConc",4,3,1,"GLQ",16,"Unf",0,1330,1346,"GasA",4,"Y","SBrkr",1504,0,0,1504,0,0,2,0,1,1,3,7,"Typ",1,4,"Attchd",2005,3,2,457,3,"TA","Paved",0,0,0,5,2009,"WD ","Normal",181000,"0",1,0,0,0,1,0,0,0
"1348",1348,903234100,"50","other",51,6120,"Pave",0,"Lvl","Inside",0,"OldTown","other","norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","other","other","None",0,2,"TA","BrkTil",3,3,1,"Unf",0,"Unf",0,952,952,"GasA",3,"Y","other",1022,752,0,1774,0,0,2,0,2,2,2,8,"BelowTyp",2,3,"Detchd",1931,1,2,468,2,"TA","Paved",0,0,0,4,2008,"WD ","Abnorml",129900,"0",1,0,0,0,1,0,0,0
"1378",1378,905102170,"20","RL",70,11200,"Pave",0,"Lvl","Inside",0,"Sawyer","norm","norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,2,"TA","CBlock",3,3,1,"Rec",906,"Unf",0,134,1040,"GasA",4,"Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,2,5,"Typ",0,0,"Detchd",1965,1,1,384,3,"TA","Paved",0,0,0,2,2008,"WD ","Normal",129500,"0",1,1,0,0,0,0,0,0
"126",126,534427010,"90","RL",98,13260,"Pave",1,"Lvl","Inside",0,"NAmes","norm","norm","Duplex","1Story",5,6,1962,2001,"Hip","CompShg","HdBoard","HdBoard","BrkFace",144,2,"TA","CBlock",3,3,1,"BLQ",1500,"Unf",0,228,1728,"GasA",2,"Y","SBrkr",1728,0,0,1728,2,0,2,0,6,2,2,10,"Typ",0,0,"No Garage",1979,0,0,0,0,"No Garage","Paved",0,0,0,1,2010,"other","Abnorml",84900,"0",1,1,1,0,0,0,0,0
"2901",2901,916477010,"20","RL",95,13618,"Pave",0,"Lvl","other",0,"Timber","norm","norm","1Fam","1Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","other",198,3,"TA","PConc",5,4,3,"GLQ",1350,"Unf",0,378,1728,"GasA",4,"Y","SBrkr",1960,0,0,1960,1,0,2,0,3,1,3,8,"Typ",2,4,"Attchd",2005,3,3,714,3,"TA","Paved",0,0,0,11,2006,"New","Partial",320000,"0",1,0,0,0,1,1,0,0
"1799",1799,528458130,"60","FV",75,9000,"Pave",0,"Lvl","Inside",0,"Somerst","norm","norm","1Fam","2Story",8,5,2007,2007,"Gable","CompShg","other","CmentBd","None",0,3,"TA","PConc",4,3,3,"GLQ",64,"Unf",0,1120,1184,"GasA",4,"Y","SBrkr",1184,1426,0,2610,0,0,2,1,4,1,4,11,"Typ",1,4,"BuiltIn",2007,3,2,550,3,"TA","Paved",0,0,0,8,2007,"New","Partial",303477,"0",1,0,0,0,1,1,0,0
"365",365,527180100,"20","RL",99,11851,"Pave",0,"Lvl","other",0,"Gilbert","norm","norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,2,"TA","PConc",4,3,1,"Unf",0,"Unf",0,1424,1424,"GasA",4,"Y","SBrkr",1442,0,0,1442,0,0,2,0,3,1,2,5,"Typ",0,0,"Attchd",1990,2,2,500,3,"TA","Paved",0,0,0,5,2009,"WD ","Normal",180500,"0",1,1,0,0,0,1,1,0
"1342",1342,903230120,"20","other",99,5940,"Pave",1,"Lvl","other",0,"BrkSide","other","norm","1Fam","1Story",4,7,1946,1950,"Gable","CompShg","other","other","None",0,2,"TA","PConc",NA,NA,NA,"",374,"other",0,460,990,"GasA",2,"Y","other",896,0,0,896,0,0,1,0,2,1,2,4,"Typ",0,0,"Detchd",1946,1,1,280,3,"TA","Paved",NA,0,0,4,2008,"other","Abnorml",79000,"0",1,1,0,0,0,0,0,0
"1650",1650,527325110,"60","RL",92,11952,"Pave",0,"Lvl","Inside",0,"NWAmes","other","norm","1Fam","2Story",7,6,1977,1977,"other","other","other","Plywood","None",0,2,"TA","CBlock",4,3,1,"Unf",0,"Unf",0,808,808,"GasA",2,"Y","SBrkr",1161,808,0,1969,0,0,2,1,3,1,2,8,"Typ",1,4,"Attchd",1977,2,2,534,3,"TA","Paved",0,0,0,11,2007,"WD ","Normal",190000,"0",1,0,0,0,0,0,0,1
"2754",2754,906380180,"20","RL",64,6762,"Pave",0,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,4,3,"Unf",0,"Unf",0,1286,1286,"GasA",4,"Y","SBrkr",1294,0,0,1294,0,0,2,0,2,1,3,6,"Typ",1,4,"Attchd",2006,2,2,662,3,"TA","Paved",0,0,0,7,2006,"New","Partial",193879,"0",1,0,0,0,1,1,0,0
